date,ticker,target_weight
2026-02-19,GOOGL,0.07999999999347902
2026-02-19,INTC,0.05772093748319958
2026-02-19,MU,0.07999999999981615
2026-02-19,TSM,0.06666135715066535
2026-02-19,ASML,0.07999999999952317
2026-02-19,AMAT,0.07561770536809667
2026-02-19,LRCX,0.07999999999979612
2026-02-19,TER,0.07999999999981011
2026-02-19,WDC,0.07999999999955648
2026-02-19,STX,0.07999999999955759
2026-02-19,UMC,0.07999999999908956
2026-02-19,ERIC,0.07999999999348793
2026-02-19,NOK,0.07999999999358422
2026-02-27,GOOGL,0.07999999999994943
2026-02-27,INTC,0.0613290585143135
2026-02-27,MU,0.07999999999999408
2026-02-27,TSM,0.0799999999999825
2026-02-27,ASML,0.07999999999998238
2026-02-27,AMAT,0.0586709414857259
2026-02-27,LRCX,0.07999999999999434
2026-02-27,TER,0.07999999999999349
2026-02-27,WDC,0.07999999999998599
2026-02-27,STX,0.0799999999999864
2026-02-27,UMC,0.07999999999996207
2026-02-27,ERIC,0.0799999999999046
2026-02-27,NOK,0.0799999999999052
